Log file created at  2020-11-25 09:30:43
Run script: main_Meta_Bayes.py
Parameters:
Namespace(K_Shot_MetaTest=100, K_Shot_MetaTrain=100, N_Way=5, batch_size=128, chars_split_type='random', complexity_type='NewBoundSeeger', data_path='/home/tianyliu/PycharmProjects/Meta_Learning_Paper_Code/MAML_FirstVersion_Modify_B/ML_data_sets', data_source='MNIST', data_transform='Permute_Labels', limit_train_samples_in_test_tasks=0, load_model_path='', loss_type='CrossEntropy', lr=0.001, meta_batch_size=16, mode='MetaTrain', model_name='ConvNet3', n_inner_steps=50, n_meta_test_epochs=20, n_meta_train_chars=1200, n_meta_train_classes=500, n_meta_train_epochs=50, n_pixels_shuffles=200, n_test_tasks=20, n_train_tasks=10, result_dir='saved/PermutedLabels_TasksN/10', run_name='PermutedLabels_TasksN/10', seed=1, test_batch_size=128)
--------------------------------------------------
--- Generating 10 training-tasks
Stochastic-ConvNet3
---- Meta-Training set: 10 tasks
(1.7%)	Epoch: 0 	 Batch: 250 	 Objective: 1.821 	  Acc: 0.899	 Empiric-Loss: 0.3701	 Task-Comp. 0.8947	 Meta-Comp.: 0.5559
(0.0%)	Epoch: 0 	 Batch: 0 	 Objective: 32.45 	  Acc: 0.114	 Empiric-Loss: 2.316	 Task-Comp. 29.57	 Meta-Comp.: 0.5563
(1.0%)	Epoch: 0 	 Batch: 150 	 Objective: 4.33 	  Acc: 0.679	 Empiric-Loss: 1.176	 Task-Comp. 1.421	 Meta-Comp.: 0.5562
(3.4%)	Epoch: 1 	 Batch: 200 	 Objective: 1.494 	  Acc: 0.923	 Empiric-Loss: 0.302	 Task-Comp. 0.6366	 Meta-Comp.: 0.5556
(0.7%)	Epoch: 0 	 Batch: 100 	 Objective: 4.219 	  Acc: 0.124	 Empiric-Loss: 2.299	 Task-Comp. 1.363	 Meta-Comp.: 0.5562
(2.0%)	Epoch: 1 	 Batch: 0 	 Objective: 1.755 	  Acc: 0.909	 Empiric-Loss: 0.3586	 Task-Comp. 0.841	 Meta-Comp.: 0.5558
(0.3%)	Epoch: 0 	 Batch: 50 	 Objective: 7.172 	  Acc: 0.241	 Empiric-Loss: 2.277	 Task-Comp. 4.339	 Meta-Comp.: 0.5563
(1.4%)	Epoch: 0 	 Batch: 200 	 Objective: 3.547 	  Acc: 0.749	 Empiric-Loss: 0.8942	 Task-Comp. 1.202	 Meta-Comp.: 0.5562
(3.7%)	Epoch: 1 	 Batch: 250 	 Objective: 1.464 	  Acc: 0.914	 Empiric-Loss: 0.3152	 Task-Comp. 0.5933	 Meta-Comp.: 0.5555
(1.0%)	Epoch: 0 	 Batch: 150 	 Objective: 3.412 	  Acc: 0.109	 Empiric-Loss: 2.302	 Task-Comp. 0.5547	 Meta-Comp.: 0.5562
(2.3%)	Epoch: 1 	 Batch: 50 	 Objective: 1.702 	  Acc: 0.904	 Empiric-Loss: 0.3627	 Task-Comp. 0.7837	 Meta-Comp.: 0.5558
(0.7%)	Epoch: 0 	 Batch: 100 	 Objective: 4.363 	  Acc: 0.109	 Empiric-Loss: 2.301	 Task-Comp. 1.506	 Meta-Comp.: 0.5562
(4.0%)	Epoch: 2 	 Batch: 0 	 Objective: 1.39 	  Acc: 0.927	 Empiric-Loss: 0.2826	 Task-Comp. 0.5515	 Meta-Comp.: 0.5555
(1.7%)	Epoch: 0 	 Batch: 250 	 Objective: 3.045 	  Acc: 0.786	 Empiric-Loss: 0.7677	 Task-Comp. 0.9538	 Meta-Comp.: 0.5562
(1.4%)	Epoch: 0 	 Batch: 200 	 Objective: 3.072 	  Acc: 0.114	 Empiric-Loss: 2.302	 Task-Comp. 0.2135	 Meta-Comp.: 0.5562
(2.7%)	Epoch: 1 	 Batch: 100 	 Objective: 1.629 	  Acc: 0.908	 Empiric-Loss: 0.3454	 Task-Comp. 0.7283	 Meta-Comp.: 0.5557
(1.0%)	Epoch: 0 	 Batch: 150 	 Objective: 3.442 	  Acc: 0.107	 Empiric-Loss: 2.302	 Task-Comp. 0.5838	 Meta-Comp.: 0.5562
(2.0%)	Epoch: 1 	 Batch: 0 	 Objective: 2.773 	  Acc: 0.801	 Empiric-Loss: 0.7033	 Task-Comp. 0.8102	 Meta-Comp.: 0.5561
(4.3%)	Epoch: 2 	 Batch: 50 	 Objective: 1.374 	  Acc: 0.92	 Empiric-Loss: 0.2921	 Task-Comp. 0.5261	 Meta-Comp.: 0.5554
(1.7%)	Epoch: 0 	 Batch: 250 	 Objective: 3.024 	  Acc: 0.102	 Empiric-Loss: 2.302	 Task-Comp. 0.1656	 Meta-Comp.: 0.5562
(3.0%)	Epoch: 1 	 Batch: 150 	 Objective: 1.562 	  Acc: 0.911	 Empiric-Loss: 0.3345	 Task-Comp. 0.6719	 Meta-Comp.: 0.5556
(1.4%)	Epoch: 0 	 Batch: 200 	 Objective: 3.087 	  Acc: 0.112	 Empiric-Loss: 2.302	 Task-Comp. 0.2281	 Meta-Comp.: 0.5562
