Log file created at  2020-11-24 14:23:37
Run script: main_Meta_Bayes.py
Parameters:
Namespace(K_Shot_MetaTest=100, K_Shot_MetaTrain=100, N_Way=5, batch_size=128, chars_split_type='random', complexity_type='PAC_Bayes_variational_role', data_path='/home/tianyliu/PycharmProjects/Meta_Learning_Paper_Code/MAML_FirstVersion_Modify_B/ML_data_sets', data_source='MNIST', data_transform='Shuffled_Pixels', limit_train_samples_in_test_tasks=0, load_model_path='', loss_type='CrossEntropy', lr=0.001, meta_batch_size=16, mode='MetaTrain', model_name='FcNet3', n_inner_steps=50, n_meta_test_epochs=20, n_meta_train_chars=1200, n_meta_train_classes=500, n_meta_train_epochs=50, n_pixels_shuffles=200, n_test_tasks=20, n_train_tasks=10, result_dir='saved/ShuffledPixels200_TasksN/10', run_name='ShuffledPixels200_TasksN/10', seed=1, test_batch_size=128)
--------------------------------------------------
--- Generating 10 training-tasks
Stochastic-FcNet3
---- Meta-Training set: 10 tasks
(0.0%)	Epoch: 0 	 Batch: 0 	 Objective: 11.81 	  Acc: 0.0942	 Empiric-Loss: 2.309	 Task-Comp. 8.64	 Meta-Comp.: 0.8591
(0.3%)	Epoch: 0 	 Batch: 50 	 Objective: 5.012 	  Acc: 0.843	 Empiric-Loss: 0.517	 Task-Comp. 3.638	 Meta-Comp.: 0.8568
(0.7%)	Epoch: 0 	 Batch: 100 	 Objective: 3.312 	  Acc: 0.837	 Empiric-Loss: 0.539	 Task-Comp. 1.917	 Meta-Comp.: 0.8552
(1.0%)	Epoch: 0 	 Batch: 150 	 Objective: 2.553 	  Acc: 0.839	 Empiric-Loss: 0.5305	 Task-Comp. 1.168	 Meta-Comp.: 0.8542
(1.4%)	Epoch: 0 	 Batch: 200 	 Objective: 2.028 	  Acc: 0.854	 Empiric-Loss: 0.4948	 Task-Comp. 0.6794	 Meta-Comp.: 0.8537
(1.7%)	Epoch: 0 	 Batch: 250 	 Objective: 1.702 	  Acc: 0.864	 Empiric-Loss: 0.4456	 Task-Comp. 0.4031	 Meta-Comp.: 0.8535
(2.0%)	Epoch: 1 	 Batch: 0 	 Objective: 1.643 	  Acc: 0.856	 Empiric-Loss: 0.4579	 Task-Comp. 0.3321	 Meta-Comp.: 0.8534
(2.3%)	Epoch: 1 	 Batch: 50 	 Objective: 1.502 	  Acc: 0.888	 Empiric-Loss: 0.3523	 Task-Comp. 0.2966	 Meta-Comp.: 0.8532
(2.7%)	Epoch: 1 	 Batch: 100 	 Objective: 1.481 	  Acc: 0.898	 Empiric-Loss: 0.3419	 Task-Comp. 0.2863	 Meta-Comp.: 0.8529
(3.0%)	Epoch: 1 	 Batch: 150 	 Objective: 1.388 	  Acc: 0.914	 Empiric-Loss: 0.2571	 Task-Comp. 0.2781	 Meta-Comp.: 0.8525
(3.4%)	Epoch: 1 	 Batch: 200 	 Objective: 1.386 	  Acc: 0.919	 Empiric-Loss: 0.2574	 Task-Comp. 0.277	 Meta-Comp.: 0.852
(3.7%)	Epoch: 1 	 Batch: 250 	 Objective: 1.35 	  Acc: 0.931	 Empiric-Loss: 0.2238	 Task-Comp. 0.2747	 Meta-Comp.: 0.8516
(4.0%)	Epoch: 2 	 Batch: 0 	 Objective: 1.4 	  Acc: 0.911	 Empiric-Loss: 0.2697	 Task-Comp. 0.2792	 Meta-Comp.: 0.8512
(4.3%)	Epoch: 2 	 Batch: 50 	 Objective: 1.333 	  Acc: 0.934	 Empiric-Loss: 0.2114	 Task-Comp. 0.2707	 Meta-Comp.: 0.8507
(4.7%)	Epoch: 2 	 Batch: 100 	 Objective: 1.349 	  Acc: 0.929	 Empiric-Loss: 0.2296	 Task-Comp. 0.2688	 Meta-Comp.: 0.8501
(5.0%)	Epoch: 2 	 Batch: 150 	 Objective: 1.303 	  Acc: 0.944	 Empiric-Loss: 0.185	 Task-Comp. 0.2682	 Meta-Comp.: 0.8496
(5.4%)	Epoch: 2 	 Batch: 200 	 Objective: 1.3 	  Acc: 0.945	 Empiric-Loss: 0.1821	 Task-Comp. 0.2691	 Meta-Comp.: 0.8491
(5.7%)	Epoch: 2 	 Batch: 250 	 Objective: 1.269 	  Acc: 0.95	 Empiric-Loss: 0.153	 Task-Comp. 0.2672	 Meta-Comp.: 0.8485
(6.0%)	Epoch: 3 	 Batch: 0 	 Objective: 1.331 	  Acc: 0.929	 Empiric-Loss: 0.2123	 Task-Comp. 0.2709	 Meta-Comp.: 0.848
(6.3%)	Epoch: 3 	 Batch: 50 	 Objective: 1.276 	  Acc: 0.94	 Empiric-Loss: 0.1683	 Task-Comp. 0.2601	 Meta-Comp.: 0.8474
(6.7%)	Epoch: 3 	 Batch: 100 	 Objective: 1.276 	  Acc: 0.946	 Empiric-Loss: 0.1643	 Task-Comp. 0.2647	 Meta-Comp.: 0.8468
